"StatsDate","OneYearBondYield"
"2015-01-04","3.2566"
"2015-01-05","3.2568"
"2015-01-06","3.2642"
"2015-01-07","3.2088"
"2015-01-08","3.1959"
"2015-01-09","3.1944"
"2015-01-12","3.1953"
"2015-01-13","3.2109"
"2015-01-14","3.2060"
"2015-01-15","3.2100"
"2015-01-16","3.2036"
"2015-01-19","3.1947"
"2015-01-20","3.1917"
"2015-01-21","3.1840"
"2015-01-22","3.1728"
"2015-01-23","3.1756"
"2015-01-26","3.1658"
"2015-01-27","3.1212"
"2015-01-28","3.1076"
"2015-01-29","3.1192"
"2015-01-30","3.1549"
"2015-02-02","3.0945"
"2015-02-03","3.0945"
"2015-02-04","3.0902"
"2015-02-05","3.0740"
"2015-02-06","3.0806"
"2015-02-09","3.0865"
"2015-02-10","3.0796"
"2015-02-11","3.0832"
"2015-02-12","3.0882"
"2015-02-13","3.0896"
"2015-02-15","3.0661"
"2015-02-16","3.0834"
"2015-02-17","3.0831"
"2015-02-25","3.0477"
"2015-02-26","3.0519"
"2015-02-27","3.0599"
"2015-02-28","3.0503"
"2015-03-02","3.0802"
"2015-03-03","3.0855"
"2015-03-04","3.0899"
"2015-03-05","3.1077"
"2015-03-06","3.1179"
"2015-03-09","3.1193"
"2015-03-10","3.1374"
"2015-03-11","3.1424"
"2015-03-12","3.1370"
"2015-03-13","3.1495"
"2015-03-16","3.1496"
"2015-03-17","3.1610"
"2015-03-18","3.1545"
"2015-03-19","3.1739"
"2015-03-20","3.1615"
"2015-03-23","3.1690"
"2015-03-24","3.1731"
"2015-03-25","3.1789"
"2015-03-26","3.1779"
"2015-03-27","3.2018"
"2015-03-30","3.1904"
"2015-03-31","3.2160"
"2015-04-01","3.2345"
"2015-04-02","3.1886"
"2015-04-03","3.1862"
"2015-04-07","3.1896"
"2015-04-08","3.1905"
"2015-04-09","3.1906"
"2015-04-10","3.1546"
"2015-04-13","3.1470"
"2015-04-14","3.1438"
"2015-04-15","3.1232"
"2015-04-16","3.0930"
"2015-04-17","3.0991"
"2015-04-20","3.0597"
"2015-04-21","2.9456"
"2015-04-22","3.0132"
"2015-04-23","3.0247"
"2015-04-24","2.9718"
"2015-04-27","2.9455"
"2015-04-28","2.8839"
"2015-04-29","2.8643"
"2015-04-30","2.8293"
"2015-05-04","2.7078"
"2015-05-05","2.7417"
"2015-05-06","2.7409"
"2015-05-07","2.7180"
"2015-05-08","2.6973"
"2015-05-11","2.6824"
"2015-05-12","2.5741"
"2015-05-13","2.5489"
"2015-05-14","2.4266"
"2015-05-15","2.3395"
"2015-05-18","2.3502"
"2015-05-19","2.3723"
"2015-05-20","2.3729"
"2015-05-21","2.3918"
"2015-05-22","2.3740"
"2015-05-25","2.3602"
"2015-05-26","2.2266"
"2015-05-27","1.9595"
"2015-05-28","1.9994"
"2015-05-29","2.0210"
"2015-06-01","1.9827"
"2015-06-02","1.9790"
"2015-06-03","1.9667"
"2015-06-04","1.9576"
"2015-06-05","1.8973"
"2015-06-08","1.8765"
"2015-06-09","1.7830"
"2015-06-10","1.7096"
"2015-06-11","1.7510"
"2015-06-12","1.7583"
"2015-06-15","1.7369"
"2015-06-16","1.7436"
"2015-06-17","1.7419"
"2015-06-18","1.7322"
"2015-06-19","1.7617"
"2015-06-23","1.7791"
"2015-06-24","1.7764"
"2015-06-25","1.7896"
"2015-06-26","1.7595"
"2015-06-29","1.7561"
"2015-06-30","1.7632"
"2015-07-01","1.8346"
"2015-07-02","1.8455"
"2015-07-03","1.8837"
"2015-07-06","1.8771"
"2015-07-07","1.9155"
"2015-07-08","2.0329"
"2015-07-09","2.2554"
"2015-07-10","2.3243"
"2015-07-13","2.4031"
"2015-07-14","2.3821"
"2015-07-15","2.4768"
"2015-07-16","2.4300"
"2015-07-17","2.4257"
"2015-07-20","2.3617"
"2015-07-21","2.4344"
"2015-07-22","2.4374"
"2015-07-23","2.3742"
"2015-07-24","2.3583"
"2015-07-27","2.4160"
"2015-07-28","2.3213"
"2015-07-29","2.2946"
"2015-07-30","2.2798"
"2015-07-31","2.4272"
"2015-08-03","2.2962"
"2015-08-04","2.3283"
"2015-08-05","2.2645"
"2015-08-06","2.2638"
"2015-08-07","2.2248"
"2015-08-10","2.2282"
"2015-08-11","2.2612"
"2015-08-12","2.3595"
"2015-08-13","2.3107"
"2015-08-14","2.3299"
"2015-08-17","2.3193"
"2015-08-18","2.3281"
"2015-08-19","2.3018"
"2015-08-20","2.2800"
"2015-08-21","2.2941"
"2015-08-24","2.3258"
"2015-08-25","2.3154"
"2015-08-26","2.3027"
"2015-08-27","2.3162"
"2015-08-28","2.3209"
"2015-08-31","2.3047"
"2015-09-01","2.2648"
"2015-09-02","2.2645"
"2015-09-06","2.2793"
"2015-09-07","2.2708"
"2015-09-08","2.2858"
"2015-09-09","2.2856"
"2015-09-10","2.2752"
"2015-09-11","2.2801"
"2015-09-14","2.2921"
"2015-09-15","2.3203"
"2015-09-16","2.3152"
"2015-09-17","2.3104"
"2015-09-18","2.3049"
"2015-09-21","2.3156"
"2015-09-22","2.3163"
"2015-09-23","2.3065"
"2015-09-24","2.3190"
"2015-09-25","2.3185"
"2015-09-28","2.3362"
"2015-09-29","2.3247"
"2015-09-30","2.3384"
"2015-10-08","2.3710"
"2015-10-09","2.3544"
"2015-10-10","2.3740"
"2015-10-12","2.4031"
"2015-10-13","2.3813"
"2015-10-14","2.3849"
"2015-10-15","2.3840"
"2015-10-16","2.3819"
"2015-10-19","2.4748"
"2015-10-20","2.4792"
"2015-10-21","2.4717"
"2015-10-22","2.4610"
"2015-10-23","2.4747"
"2015-10-26","2.4228"
"2015-10-27","2.3894"
"2015-10-28","2.4212"
"2015-10-29","2.3993"
"2015-10-30","2.3662"
"2015-11-02","2.3955"
"2015-11-03","2.4026"
"2015-11-04","2.4607"
"2015-11-05","2.4820"
