"Stkcd","Trddt","Opnprc","Hiprc","Loprc","Clsprc","Dsmvosd","Dsmvtll","Ahshrtrd_D","Ahvaltrd_D","ChangeRatio"
"002223","2018-12-10","19.550","20.330","19.180","19.600","16760083.48","19648547.81","","","0.002558"
"002223","2018-12-11","19.390","20.120","19.340","20.000","17102126.00","20049538.58","","","0.020408"
"002223","2018-12-12","20.000","20.100","19.580","19.680","16828491.98","19728745.96","","","-0.016000"
"002223","2018-12-13","19.840","20.040","19.590","19.850","16973860.06","19899167.04","","","0.008638"
"002223","2018-12-14","19.820","19.900","19.390","19.560","16725879.23","19608448.73","","","-0.014610"
"002223","2018-12-17","19.410","19.580","18.800","19.260","16469347.34","19307705.65","","","-0.015337"
"002223","2018-12-18","19.240","19.410","19.010","19.290","16495000.53","19337779.96","","","0.001558"
"002223","2018-12-19","19.400","19.440","18.430","18.590","15896426.12","18636046.11","","","-0.036288"
"002223","2018-12-20","18.520","18.880","18.200","18.600","15904977.18","18646070.88","","","0.000538"
"002223","2018-12-21","18.680","18.760","17.990","18.330","15674098.48","18375402.11","","","-0.014516"
"002223","2018-12-24","18.560","19.390","18.390","19.200","16418040.96","19247557.04","","","0.047463"
"002223","2018-12-25","19.210","19.750","19.000","19.410","16597613.28","19458077.19","","","0.010938"
"002223","2018-12-26","19.400","19.880","19.350","19.660","16811389.86","19708696.42","","","0.012880"
"002223","2018-12-27","19.870","19.980","19.450","19.520","16691674.98","19568349.65","","","-0.007121"
"002223","2018-12-28","19.520","19.760","19.140","19.610","16768634.54","19658572.58","","","0.004611"
"002223","2019-01-02","19.680","19.750","18.900","19.390","16580511.16","19438027.65","","","-0.011219"
"002223","2019-01-03","19.150","19.300","18.800","18.800","16075998.44","18846566.27","","","-0.030428"
"002223","2019-01-04","18.620","19.250","18.620","19.050","16289775.02","19097185.50","","","0.013298"
"002223","2019-01-07","19.140","19.800","18.920","19.520","16691674.98","19568349.65","","","0.024672"
"002223","2019-01-08","19.500","19.780","19.310","19.510","16683123.91","19558324.88","","","-0.000512"
"002223","2019-01-09","19.530","19.820","19.350","19.500","16674572.85","19548300.12","","","-0.000513"
"002223","2019-01-10","19.500","19.780","19.100","19.770","16905451.55","19818968.89","","","0.013846"
"002223","2019-01-11","19.780","19.850","19.520","19.770","16905451.55","19818968.89","","","0.000000"
"002223","2019-01-14","19.890","20.090","19.680","19.750","16888349.43","19798919.35","","","-0.001012"
"002223","2019-01-15","19.720","20.160","19.640","20.090","17179085.57","20139761.50","","","0.017215"
"002223","2019-01-16","19.930","20.950","19.930","20.800","17786211.04","20851520.12","","","0.035341"
"002223","2019-01-17","20.750","21.400","20.620","20.960","17923028.05","21011916.43","","","0.007692"
"002223","2019-01-18","21.250","21.600","20.970","21.100","18042742.93","21152263.20","","","0.006679"
"002223","2019-01-21","21.260","21.660","21.140","21.400","18299274.82","21453006.28","","","0.014218"
"002223","2019-01-22","21.360","21.360","20.870","20.960","17923028.05","21011916.43","","","-0.020561"
"002223","2019-01-23","21.200","21.600","20.800","21.270","18188111.00","21322684.28","","","0.014790"
"002223","2019-01-24","21.250","21.600","20.960","21.350","18256519.51","21402882.43","","","0.003761"
"002223","2019-01-25","21.340","21.850","21.250","21.700","18555806.71","21753749.36","","","0.016393"
"002223","2019-01-28","21.600","21.870","21.200","21.310","18222315.25","21362783.36","","","-0.017972"
"002223","2019-01-29","21.310","21.740","20.920","21.400","18299274.82","21453006.28","","","0.004223"
"002223","2019-01-30","21.280","21.480","20.650","20.860","17837517.42","20911668.74","","","-0.025234"
"002223","2019-01-31","21.080","22.060","20.860","21.400","18299274.82","21453006.28","","","0.025887"
"002223","2019-02-01","21.410","22.240","21.410","22.010","18820889.66","22064517.21","","","0.028505"
"002223","2019-02-11","21.900","22.290","21.740","22.230","19009013.05","22285062.13","","","0.009995"
"002223","2019-02-12","22.210","22.250","21.840","22.020","18829440.73","22074541.98","","","-0.009447"
"002223","2019-02-13","22.020","22.200","21.800","22.010","18820889.66","22064517.21","","","-0.000454"
"002223","2019-02-14","22.030","22.200","21.530","21.890","18718276.91","21944219.98","","","-0.005452"
"002223","2019-02-15","21.770","21.790","21.330","21.340","18247968.44","21392857.66","","","-0.025126"
"002223","2019-02-18","21.490","22.000","21.350","21.980","18795236.47","22034442.90","","","0.029991"
"002223","2019-02-19","21.970","21.970","21.280","21.380","18282172.69","21432956.74","","","-0.027298"
"002223","2019-02-20","21.350","21.380","21.020","21.190","18119702.50","21242486.13","","","-0.008887"
"002223","2019-02-21","21.170","21.490","21.010","21.200","18128253.56","21252510.89","","","0.000472"
"002223","2019-02-22","21.210","21.610","21.060","21.590","18461745.02","21643476.90","","","0.018396"
"002223","2019-02-25","21.580","22.970","21.320","22.900","19581934.27","22956721.67","","","0.060676"
"002223","2019-02-26","22.890","23.680","22.550","23.300","19923976.79","23357712.45","","","0.017467"
"002223","2019-02-27","23.100","23.500","22.960","22.970","19641791.71","23026895.06","","","-0.014163"
"002223","2019-02-28","22.970","23.660","22.810","23.650","20223264.00","23708579.37","","","0.029604"
"002223","2019-03-01","23.870","24.090","23.270","23.500","20094998.05","23558207.83","","","-0.006342"
"002223","2019-03-04","23.520","24.510","23.520","23.780","20334427.81","23838901.37","","","0.011915"
